,flame,human,point,x,y
0,50,1,16,747,294
0,50,1,17,814,287
0,51,1,0,780,303
0,51,1,1,782,359
0,51,1,2,738,368
0,51,1,5,828,352
0,51,1,6,895,276
0,51,1,7,853,204
0,51,1,8,768,505
0,51,1,11,826,493
0,51,1,12,823,595
0,51,1,14,766,290
0,51,1,15,793,287
0,51,1,16,747,294
0,51,1,17,814,287
0,52,1,0,780,303
0,52,1,1,782,361
0,52,1,2,738,368
0,52,1,5,830,352
0,52,1,6,895,276
0,52,1,7,853,204
0,52,1,8,766,505
0,52,1,11,826,493
0,52,1,12,821,598
0,52,1,14,766,290
0,52,1,15,793,287
0,52,1,16,747,294
0,52,1,17,814,287
0,53,1,0,780,303
0,53,1,1,782,359
0,53,1,2,738,368
0,53,1,5,830,352
0,53,1,6,895,276
0,53,1,7,853,204
0,53,1,8,766,510
0,53,1,11,828,498
0,53,1,12,809,660
0,53,1,13,805,771
0,53,1,14,766,292
0,53,1,15,793,290
0,53,1,16,747,294
0,53,1,17,812,287
0,54,1,0,780,303
0,54,1,1,782,359
0,54,1,2,738,368
0,54,1,5,828,352
0,54,1,6,895,278
0,54,1,7,853,204
0,54,1,8,766,510
0,54,1,11,826,496
0,54,1,12,819,600
0,54,1,14,766,290
0,54,1,15,793,287
0,54,1,16,747,294
0,54,1,17,812,287
0,55,1,0,780,303
0,55,1,1,782,359
0,55,1,2,738,368
0,55,1,5,830,352
0,55,1,6,895,276
0,55,1,7,853,204
0,55,1,8,761,505
0,55,1,11,823,496
0,55,1,12,819,602
0,55,1,14,766,290
0,55,1,15,793,290
0,55,1,16,747,294
0,55,1,17,812,287
0,56,1,0,780,303
0,56,1,1,782,359
0,56,1,2,738,368
0,56,1,5,830,352
0,56,1,6,895,278
0,56,1,7,853,204
0,56,1,8,761,505
0,56,1,11,823,496
0,56,1,12,812,660
0,56,1,13,805,774
0,56,1,14,766,290
0,56,1,15,793,290
0,56,1,16,747,294
0,56,1,17,812,287
0,57,1,0,780,303
0,57,1,1,784,361
0,57,1,2,738,368
0,57,1,5,828,352
0,57,1,6,895,278
0,57,1,7,853,204
0,57,1,8,766,510
0,57,1,11,828,498
0,57,1,12,809,663
0,57,1,13,805,774
0,57,1,14,766,292
0,57,1,15,793,290
0,57,1,16,747,294
0,57,1,17,812,290
0,58,1,0,780,303
0,58,1,1,782,361
0,58,1,2,738,368
0,58,1,5,828,352
0,58,1,6,895,278
0,58,1,7,853,204
0,58,1,8,766,510
0,58,1,11,828,498
0,58,1,12,809,660
0,58,1,13,805,774
0,58,1,14,766,292
0,58,1,15,793,290
0,58,1,16,747,294
0,58,1,17,812,290
0,59,1,0,780,303
0,59,1,1,784,359
0,59,1,2,738,368
0,59,1,5,830,352
0,59,1,6,895,278
0,59,1,7,853,204
0,59,1,8,761,505
0,59,1,9,733,623
0,59,1,11,823,496
0,59,1,12,819,602
0,59,1,14,766,292
0,59,1,15,793,290
0,59,1,16,747,294
0,59,1,17,812,287
0,60,1,0,780,303
0,60,1,1,784,359
0,60,1,2,738,368
0,60,1,5,830,352
0,60,1,6,895,278
0,60,1,7,853,204
0,60,1,8,761,505
0,60,1,9,733,623
0,60,1,11,823,496
0,60,1,12,819,602
0,60,1,14,766,292
0,60,1,15,793,290
0,60,1,16,747,294
0,60,1,17,812,287
0,61,1,0,780,306
0,61,1,1,784,359
0,61,1,2,738,368
0,61,1,5,828,352
0,61,1,6,895,278
0,61,1,7,853,206
0,61,1,8,768,507
0,61,1,9,731,623
0,61,1,11,826,498
0,61,1,12,819,605
0,61,1,14,766,292
0,61,1,15,793,290
0,61,1,16,747,294
0,61,1,17,812,287
0,62,1,0,780,306
0,62,1,1,784,359
0,62,1,2,738,368
0,62,1,5,830,352
0,62,1,6,895,278
0,62,1,7,853,204
0,62,1,8,768,507
0,62,1,9,731,623
0,62,1,11,826,498
0,62,1,12,819,607
0,62,1,14,766,292
0,62,1,15,793,290
0,62,1,16,747,294
0,62,1,17,812,287
0,63,1,0,780,306
0,63,1,1,784,361
0,63,1,2,738,368
0,63,1,5,830,352
0,63,1,6,897,278
0,63,1,7,853,204
0,63,1,8,761,505
0,63,1,11,823,493
0,63,1,12,819,602
0,63,1,14,766,292
0,63,1,15,793,290
0,63,1,16,747,294
0,63,1,17,812,287
0,64,1,0,780,306
0,64,1,1,784,361
0,64,1,2,738,368
0,64,1,5,830,352
0,64,1,6,897,278
0,64,1,7,853,204
0,64,1,8,759,503
0,64,1,9,731,623
0,64,1,11,821,493
0,64,1,12,809,660
0,64,1,13,805,774
0,64,1,14,766,292
0,64,1,15,793,290
0,64,1,16,747,294
0,64,1,17,812,287
0,65,1,0,780,303
0,65,1,1,784,361
0,65,1,2,736,368
0,65,1,5,830,352
0,65,1,6,897,278
0,65,1,7,853,204
0,65,1,8,759,500
0,65,1,11,821,491
0,65,1,12,809,660
0,65,1,13,805,771
0,65,1,14,766,292
0,65,1,15,793,290
0,65,1,16,747,294
0,65,1,17,812,290
0,66,1,0,780,303
0,66,1,1,784,361
0,66,1,2,736,368
0,66,1,5,830,352
0,66,1,6,895,278
0,66,1,7,853,204
0,66,1,8,759,500
