,frame,human,point,x,y
0,47,1,9,856,496
0,47,1,10,848,610
0,47,1,11,740,394
0,47,1,12,658,500
0,47,1,13,602,568
0,47,1,17,898,312
0,48,1,2,888,384
0,48,1,5,850,318
0,48,1,6,840,212
0,48,1,7,832,146
0,48,1,8,774,422
0,48,1,9,856,496
0,48,1,10,848,610
0,48,1,11,740,394
0,48,1,12,658,500
0,48,1,13,602,568
0,48,1,17,900,310
0,49,1,2,888,384
0,49,1,5,850,318
0,49,1,6,840,212
0,49,1,7,832,146
0,49,1,8,774,422
0,49,1,9,856,496
0,49,1,10,848,610
0,49,1,11,740,394
0,49,1,12,658,500
0,49,1,13,602,568
0,49,1,17,900,310
0,50,1,2,888,384
0,50,1,5,848,316
0,50,1,6,840,208
0,50,1,7,834,144
0,50,1,8,776,424
0,50,1,9,856,496
0,50,1,10,848,610
0,50,1,11,742,394
0,50,1,12,658,500
0,50,1,13,600,570
0,50,1,17,898,310
0,51,1,2,888,384
0,51,1,5,848,316
0,51,1,6,840,208
0,51,1,7,834,144
0,51,1,8,776,424
0,51,1,9,856,496
0,51,1,10,848,610
0,51,1,11,742,394
0,51,1,12,658,500
0,51,1,13,600,570
0,51,1,17,898,310
0,52,1,2,886,384
0,52,1,5,852,318
0,52,1,6,844,210
0,52,1,7,836,142
0,52,1,8,772,420
0,52,1,9,856,496
0,52,1,10,850,610
0,52,1,11,742,392
0,52,1,12,660,496
0,52,1,13,602,568
0,52,1,17,900,310
0,53,1,2,886,384
0,53,1,5,852,318
0,53,1,6,844,210
0,53,1,7,836,142
0,53,1,8,772,420
0,53,1,9,856,496
0,53,1,10,850,610
0,53,1,11,742,392
0,53,1,12,660,496
0,53,1,13,602,568
0,53,1,17,900,310
0,54,1,2,888,384
0,54,1,5,852,318
0,54,1,6,844,208
0,54,1,7,838,142
0,54,1,8,778,424
0,54,1,9,856,494
0,54,1,10,850,610
0,54,1,11,742,392
0,54,1,12,658,498
0,54,1,13,602,568
0,54,1,17,900,310
0,55,1,2,888,384
0,55,1,5,852,318
0,55,1,6,844,208
0,55,1,7,838,142
0,55,1,8,778,424
0,55,1,9,856,494
0,55,1,10,850,610
0,55,1,11,742,392
0,55,1,12,658,498
0,55,1,13,602,568
0,55,1,17,900,310
0,56,1,2,888,384
0,56,1,5,852,316
0,56,1,6,846,206
0,56,1,7,840,140
0,56,1,8,774,422
0,56,1,9,856,494
0,56,1,10,848,608
0,56,1,11,740,392
0,56,1,12,658,498
0,56,1,13,604,562
0,56,1,17,900,310
0,57,1,2,888,384
0,57,1,5,852,316
0,57,1,6,846,206
0,57,1,7,840,140
0,57,1,8,774,422
0,57,1,9,856,494
0,57,1,10,848,608
0,57,1,11,740,392
0,57,1,12,658,498
0,57,1,13,604,562
0,57,1,17,900,310
0,58,1,2,888,382
0,58,1,5,850,316
0,58,1,6,848,206
0,58,1,7,842,140
0,58,1,8,774,420
0,58,1,9,856,496
0,58,1,10,848,608
0,58,1,11,740,394
0,58,1,12,656,498
0,58,1,13,602,568
0,58,1,17,900,310
0,59,1,2,888,382
0,59,1,5,850,316
0,59,1,6,848,206
0,59,1,7,842,140
0,59,1,8,774,420
0,59,1,9,856,496
0,59,1,10,848,608
0,59,1,11,740,394
0,59,1,12,656,498
0,59,1,13,602,568
0,59,1,17,900,310
0,60,1,2,888,382
0,60,1,5,850,314
0,60,1,6,848,206
0,60,1,7,842,140
0,60,1,8,776,418
0,60,1,9,856,494
0,60,1,10,850,608
0,60,1,11,742,392
0,60,1,12,658,496
0,60,1,13,602,568
0,60,1,17,902,310
0,61,1,2,888,382
0,61,1,5,850,314
0,61,1,6,848,206
0,61,1,7,842,140
0,61,1,8,776,418
0,61,1,9,856,494
0,61,1,10,850,608
0,61,1,11,742,392
0,61,1,12,658,496
0,61,1,13,602,568
0,61,1,17,902,310
0,62,1,2,888,382
0,62,1,5,852,314
0,62,1,6,850,204
0,62,1,7,844,140
0,62,1,8,774,420
0,62,1,9,856,494
0,62,1,10,850,608
0,62,1,11,740,390
0,62,1,12,658,496
0,62,1,13,602,568
0,62,1,17,902,310
0,63,1,2,888,382
0,63,1,5,852,314
0,63,1,6,850,204
0,63,1,7,844,140
0,63,1,8,774,420
0,63,1,9,856,494
0,63,1,10,850,608
0,63,1,11,740,390
0,63,1,12,658,496
0,63,1,13,602,568
0,63,1,17,902,310
0,64,1,2,888,380
0,64,1,5,852,314
0,64,1,6,850,204
0,64,1,7,844,138
0,64,1,8,776,418
0,64,1,9,856,494
0,64,1,10,850,606
0,64,1,11,742,388
0,64,1,12,658,496
0,64,1,13,602,566
0,64,1,17,902,310
0,65,1,2,888,380
0,65,1,5,852,314
0,65,1,6,850,204
0,65,1,7,844,138
0,65,1,8,776,418
0,65,1,9,856,494
0,65,1,10,850,606
0,65,1,11,742,388
0,65,1,12,658,496
0,65,1,13,602,566
0,65,1,17,902,310
0,66,1,2,888,382
0,66,1,5,852,312
0,66,1,6,850,204
0,66,1,7,844,136
0,66,1,8,774,416
0,66,1,9,858,494
0,66,1,10,850,606
0,66,1,11,744,384
0,66,1,12,658,496
0,66,1,13,604,564
0,66,1,17,902,308
0,67,1,2,888,382
0,67,1,5,852,312
0,67,1,6,850,204
0,67,1,7,844,136
0,67,1,8,774,416
0,67,1,9,858,494
0,67,1,10,850,606
0,67,1,11,744,384
0,67,1,12,658,496
0,67,1,13,604,564
0,67,1,17,902,308
0,68,1,2,890,380
0,68,1,5,852,312
0,68,1,6,850,202
0,68,1,7,844,136
0,68,1,8,774,414
0,68,1,9,858,494
0,68,1,10,852,608
0,68,1,11,744,384
0,68,1,12,658,496
0,68,1,13,604,564
0,68,1,17,902,308
0,69,1,2,890,380
