,frame,human,point,x,y
0,54,1,13,760,600
0,54,1,14,614,167
0,54,1,15,632,165
0,54,1,17,665,173
0,56,1,0,620,177
0,56,1,1,645,242
0,56,1,2,604,246
0,56,1,5,686,242
0,56,1,6,764,260
0,56,1,7,846,240
0,56,1,8,600,390
0,56,1,9,602,529
0,56,1,10,604,636
0,56,1,11,655,397
0,56,1,12,717,533
0,56,1,13,760,600
0,56,1,14,614,167
0,56,1,15,632,165
0,56,1,17,665,173
0,58,1,0,620,177
0,58,1,1,645,242
0,58,1,2,604,246
0,58,1,5,686,242
0,58,1,6,764,260
0,58,1,7,846,240
0,58,1,8,597,392
0,58,1,9,602,527
0,58,1,10,604,636
0,58,1,11,655,399
0,58,1,12,712,529
0,58,1,13,782,647
0,58,1,14,614,167
0,58,1,15,632,165
0,58,1,17,665,173
0,60,1,0,620,177
0,60,1,1,645,244
0,60,1,2,602,248
0,60,1,5,686,242
0,60,1,6,766,260
0,60,1,7,846,238
0,60,1,8,600,390
0,60,1,9,602,527
0,60,1,10,604,634
0,60,1,11,655,394
0,60,1,12,708,527
0,60,1,13,782,647
0,60,1,14,614,167
0,60,1,15,632,165
0,60,1,17,665,173
0,62,1,1,641,240
0,62,1,2,597,244
0,62,1,5,682,240
0,62,1,6,762,258
0,62,1,7,844,236
0,62,1,8,600,388
0,62,1,9,602,523
0,62,1,10,602,630
0,62,1,11,655,392
0,62,1,12,710,523
0,62,1,13,762,602
0,62,1,14,612,165
0,62,1,15,632,161
0,62,1,17,665,167
0,64,1,0,618,173
0,64,1,1,641,240
0,64,1,2,597,244
0,64,1,5,682,238
0,64,1,6,764,258
0,64,1,7,844,238
0,64,1,8,597,386
0,64,1,9,600,523
0,64,1,10,602,628
0,64,1,11,653,390
0,64,1,12,708,521
0,64,1,13,760,596
0,64,1,14,612,163
0,64,1,15,630,161
0,64,1,17,663,167
0,66,1,0,618,173
0,66,1,1,641,240
0,66,1,2,597,244
0,66,1,5,682,238
0,66,1,6,762,256
0,66,1,7,844,238
0,66,1,8,597,384
0,66,1,9,600,521
0,66,1,10,602,628
0,66,1,11,653,390
0,66,1,12,710,523
0,66,1,13,760,600
0,66,1,14,612,163
0,66,1,15,630,159
0,66,1,17,663,167
0,68,1,0,616,171
0,68,1,1,641,240
0,68,1,2,597,244
0,68,1,5,682,238
0,68,1,6,762,258
0,68,1,7,844,238
0,68,1,8,600,388
0,68,1,9,602,523
0,68,1,10,602,628
0,68,1,11,653,392
0,68,1,12,712,523
0,68,1,13,760,598
0,68,1,14,610,163
0,68,1,15,628,159
0,68,1,17,661,167
0,70,1,0,616,171
0,70,1,1,641,238
0,70,1,2,597,244
0,70,1,5,682,238
0,70,1,6,762,256
0,70,1,7,844,238
0,70,1,8,597,388
0,70,1,9,602,523
0,70,1,10,602,630
0,70,1,11,655,392
0,70,1,12,712,523
0,70,1,13,760,598
0,70,1,14,610,163
0,70,1,15,628,159
0,70,1,17,661,167
0,72,1,0,616,171
0,72,1,1,641,238
0,72,1,2,600,242
0,72,1,5,682,236
0,72,1,6,762,258
0,72,1,7,844,238
0,72,1,8,595,384
0,72,1,9,600,523
0,72,1,10,602,630
0,72,1,11,653,390
0,72,1,12,710,521
0,72,1,13,762,598
0,72,1,14,610,163
0,72,1,15,628,159
0,72,1,17,661,167
0,74,1,0,616,171
0,74,1,1,641,238
0,74,1,2,597,244
0,74,1,5,682,238
0,74,1,6,762,256
0,74,1,7,844,238
0,74,1,8,597,386
0,74,1,9,600,521
0,74,1,10,602,628
0,74,1,11,655,392
0,74,1,12,708,523
0,74,1,13,762,600
0,74,1,14,610,161
0,74,1,15,628,159
0,74,1,17,661,167
0,76,1,0,616,171
0,76,1,1,641,240
0,76,1,2,597,244
0,76,1,3,583,317
0,76,1,5,684,238
0,76,1,6,762,256
0,76,1,7,844,238
0,76,1,8,600,388
0,76,1,9,600,521
0,76,1,10,602,628
0,76,1,11,655,392
0,76,1,12,708,521
0,76,1,13,762,600
0,76,1,14,610,161
0,76,1,15,628,159
0,76,1,17,661,165
0,78,1,0,616,169
0,78,1,1,641,238
0,78,1,2,600,242
0,78,1,3,579,321
0,78,1,5,682,236
0,78,1,6,762,256
0,78,1,7,844,236
0,78,1,8,597,388
0,78,1,9,600,516
0,78,1,10,602,628
0,78,1,11,655,392
0,78,1,12,712,523
0,78,1,13,760,598
0,78,1,14,610,161
0,78,1,15,628,159
0,78,1,17,661,165
0,80,1,0,616,169
0,80,1,1,641,238
0,80,1,2,597,244
0,80,1,5,682,236
0,80,1,6,762,254
0,80,1,7,844,236
0,80,1,8,600,386
0,80,1,9,600,521
0,80,1,10,602,628
0,80,1,11,655,390
0,80,1,12,710,521
0,80,1,13,760,596
0,80,1,14,610,161
0,80,1,15,628,157
0,80,1,17,661,165
0,82,1,0,616,169
0,82,1,1,641,240
0,82,1,2,597,244
0,82,1,3,581,319
0,82,1,5,682,236
0,82,1,6,762,256
0,82,1,7,844,236
0,82,1,8,597,386
0,82,1,9,600,521
0,82,1,10,602,628
0,82,1,11,655,390
0,82,1,12,714,523
0,82,1,13,760,596
0,82,1,14,610,161
0,82,1,15,628,157
0,82,1,17,661,165
0,84,1,0,616,169
0,84,1,1,641,238
0,84,1,2,597,244
0,84,1,3,581,317
0,84,1,5,682,236
0,84,1,6,762,256
0,84,1,7,844,236
0,84,1,8,597,386
0,84,1,9,600,521
0,84,1,10,602,626
0,84,1,11,653,388
0,84,1,12,714,523
0,84,1,13,758,594
0,84,1,14,610,161
0,84,1,15,628,157
0,84,1,17,661,165
0,86,1,0,616,169
0,86,1,1,641,236
0,86,1,2,600,240
0,86,1,3,581,311
0,86,1,4,567,329
0,86,1,5,682,236
0,86,1,6,762,256
0,86,1,7,844,236
0,86,1,8,597,386
0,86,1,9,602,523
0,86,1,10,602,628
0,86,1,11,655,390
0,86,1,12,714,527
0,86,1,13,780,643
0,86,1,14,610,161
0,86,1,15,628,157
0,86,1,17,661,167
0,88,1,0,616,171
0,88,1,1,641,238
0,88,1,2,597,242
0,88,1,3,581,315
0,88,1,4,567,331
0,88,1,5,682,238
0,88,1,6,764,256
0,88,1,7,844,236
0,88,1,8,597,388
0,88,1,9,600,523
0,88,1,10,602,628
0,88,1,11,653,390
0,88,1,12,708,521
0,88,1,13,760,598
0,88,1,14,610,161
0,88,1,15,628,159
0,88,1,17,661,167
0,90,1,0,616,173
0,90,1,1,641,240
0,90,1,2,597,244
0,90,1,3,581,319
0,90,1,5,682,240
0,90,1,6,764,258
0,90,1,7,844,238
0,90,1,8,597,388
0,90,1,9,600,523
0,90,1,10,602,630
0,90,1,11,653,392
0,90,1,12,708,521
0,90,1,13,780,643
0,90,1,14,612,163
0,90,1,15,630,161
0,90,1,17,663,167
0,92,1,0,616,173
0,92,1,1,643,238
0,92,1,2,602,240
0,92,1,5,684,240
0,92,1,6,764,258
0,92,1,7,844,238
0,92,1,8,597,388
0,92,1,9,600,523
0,92,1,10,602,632
0,92,1,11,655,394
0,92,1,12,706,521
0,92,1,13,760,598
0,92,1,14,612,165
0,92,1,15,630,163
0,92,1,17,663,169
0,94,1,0,618,175
0,94,1,1,643,240
0,94,1,2,600,244
0,94,1,5,684,242
0,94,1,6,764,260
0,94,1,7,844,240
0,94,1,8,597,386
0,94,1,9,600,523
0,94,1,10,602,632
0,94,1,11,653,390
0,94,1,12,675,468
0,94,1,14,612,165
0,94,1,15,630,163
0,94,1,17,663,169
0,96,1,0,618,175
0,96,1,1,643,238
0,96,1,2,602,242
0,96,1,5,682,242
0,96,1,6,764,260
0,96,1,7,844,240
0,96,1,8,597,388
0,96,1,9,600,525
0,96,1,10,602,632
0,96,1,11,653,394
0,96,1,12,712,527
0,96,1,13,758,596
0,96,1,14,612,167
0,96,1,15,630,163
0,96,1,17,663,171
0,98,1,0,618,175
0,98,1,1,643,240
0,98,1,2,600,246
0,98,1,5,684,242
0,98,1,6,764,260
0,98,1,7,844,240
0,98,1,8,597,392
0,98,1,9,602,529
0,98,1,10,602,634
0,98,1,11,655,397
0,98,1,12,708,525
0,98,1,13,780,647
0,98,1,14,612,167
0,98,1,15,630,163
0,98,1,17,663,171
0,100,1,0,618,175
0,100,1,1,643,242
0,100,1,2,600,246
0,100,1,3,579,325
0,100,1,5,684,242
0,100,1,6,764,260
0,100,1,7,844,242
0,100,1,8,597,390
0,100,1,9,602,529
0,100,1,10,602,634
0,100,1,11,655,397
0,100,1,12,712,527
0,100,1,13,780,647
0,100,1,14,612,167
0,100,1,15,630,165
0,100,1,17,663,171
0,102,1,0,618,177
0,102,1,1,643,242
0,102,1,2,602,246
