,flame,human,point,x,y
0,46,1,10,808,628
0,46,1,11,812,398
0,46,1,12,856,492
0,46,1,13,844,542
0,46,1,14,798,146
0,46,1,16,768,166
0,48,1,0,798,152
0,48,1,1,780,238
0,48,1,2,736,238
0,48,1,3,700,316
0,48,1,4,746,366
0,48,1,5,826,236
0,48,1,6,864,294
0,48,1,7,910,298
0,48,1,8,758,418
0,48,1,9,790,532
0,48,1,10,804,634
0,48,1,11,824,408
0,48,1,12,848,514
0,48,1,13,846,616
0,48,1,14,782,144
0,48,1,15,802,144
0,48,1,16,756,166
0,48,2,0,610,522
0,48,2,1,584,556
0,48,2,2,558,542
0,48,2,5,608,564
0,48,2,16,590,512
0,48,2,14,606,512
0,48,2,15,618,514
0,50,1,0,772,160
0,50,1,1,778,248
0,50,1,2,722,250
0,50,1,3,702,330
0,50,1,4,746,350
0,50,1,5,832,246
0,50,1,6,876,300
0,50,1,7,880,330
0,50,1,8,750,428
0,50,1,9,780,556
0,50,1,10,810,640
0,50,1,11,822,418
0,50,1,12,834,546
0,50,1,13,858,650
0,50,1,14,760,156
0,50,1,15,784,152
0,50,1,16,744,176
0,50,1,17,804,172
0,50,2,0,608,532
0,50,2,1,582,562
0,50,2,2,560,550
0,50,2,5,600,570
0,50,2,16,590,522
0,50,2,14,606,524
0,50,2,15,616,528
0,52,1,0,748,170
0,52,1,1,774,252
0,52,1,2,722,254
0,52,1,3,704,338
0,52,1,4,738,322
0,52,1,5,824,250
0,52,1,6,878,316
0,52,1,7,830,356
0,52,1,8,754,416
0,52,1,9,766,534
0,52,1,10,788,592
0,52,1,11,816,414
0,52,1,12,816,542
0,52,1,13,840,670
0,52,1,14,744,162
0,52,1,15,762,160
0,52,1,17,794,180
0,54,1,0,732,176
0,54,1,1,768,254
0,54,1,2,732,254
0,54,1,3,702,338
0,54,1,4,716,304
0,54,1,5,800,254
0,54,1,6,850,328
0,54,1,7,776,376
0,54,1,8,770,434
0,54,1,9,814,548
0,54,1,10,864,644
0,54,1,11,816,426
0,54,1,12,800,540
0,54,1,15,744,166
0,54,1,17,776,184
0,56,1,0,726,186
0,56,1,1,758,260
0,56,1,2,740,258
0,56,1,3,708,334
0,56,1,4,680,314
0,56,1,5,772,260
0,56,1,6,796,338
0,56,1,7,736,404
0,56,1,8,774,430
0,56,1,9,830,558
0,56,1,10,868,650
0,56,1,11,812,422
0,56,1,12,768,594
0,56,1,13,786,696
0,56,1,15,732,176
0,56,1,17,754,188
0,56,2,0,602,544
0,56,2,1,578,570
0,56,2,2,554,560
0,56,2,5,594,580
0,56,2,16,586,534
0,56,2,14,600,534
0,56,2,15,610,536
0,58,1,1,766,268
0,58,1,2,792,260
0,58,1,5,740,274
0,58,1,6,724,354
0,58,1,7,696,438
0,58,1,8,832,430
0,58,1,9,826,568
0,58,1,10,850,658
0,58,1,11,782,432
0,58,1,12,750,592
0,58,1,13,784,696
0,58,1,16,784,208
0,58,1,17,736,202
0,60,1,1,758,286
0,60,1,2,798,282
0,60,1,3,812,346
0,60,1,5,720,290
0,60,1,6,670,364
0,60,1,7,634,444
0,60,1,8,832,442
0,60,1,9,822,560
0,60,1,10,842,664
0,60,1,11,778,454
0,60,1,12,738,584
0,60,1,13,784,706
0,60,1,16,780,220
0,60,1,17,730,212
0,60,2,0,596,552
0,60,2,1,574,574
0,60,2,2,554,564
0,60,2,5,590,584
0,60,2,16,586,540
0,60,2,14,596,544
0,60,2,15,604,546
0,62,1,1,754,290
0,62,1,2,806,288
0,62,1,5,706,296
0,62,1,6,642,348
0,62,1,7,580,414
0,62,1,8,824,440
0,62,1,9,838,548
0,62,1,10,850,650
0,62,1,11,760,460
0,62,1,12,738,606
0,62,1,13,784,704
0,62,1,16,782,222
0,62,1,17,726,220
0,62,2,0,600,552
0,62,2,1,572,576
0,62,2,2,552,566
0,62,2,5,588,586
0,62,2,16,584,542
0,62,2,14,598,544
0,62,2,15,608,546
0,64,1,1,758,280
0,64,1,2,812,278
0,64,1,3,860,324
0,64,1,4,894,354
0,64,1,5,700,284
0,64,1,6,622,306
0,64,1,7,546,342
0,64,1,8,820,432
0,64,1,9,844,542
0,64,1,10,864,644
0,64,1,11,754,450
0,64,1,12,744,596
0,64,1,13,782,702
0,64,1,16,782,216
0,64,1,17,730,216
0,66,1,0,808,184
0,66,1,1,768,258
0,66,1,2,826,258
0,66,1,3,908,282
0,66,1,4,972,300
0,66,1,5,708,258
0,66,1,6,626,256
0,66,1,7,548,264
0,66,1,8,820,422
0,66,1,9,844,544
0,66,1,11,750,424
0,66,1,12,750,558
0,66,1,14,800,178
0,66,1,16,784,194
0,68,1,0,818,160
0,68,1,1,778,234
0,68,1,2,834,236
0,68,1,3,932,240
0,68,1,4,1014,246
0,68,1,5,722,230
0,68,1,6,642,214
0,68,1,7,568,204
0,68,1,8,822,402
0,68,1,11,756,406
0,68,1,14,808,154
0,68,1,16,786,174
0,70,1,0,830,150
0,70,1,1,792,222
0,70,1,2,840,220
0,70,1,3,940,216
0,70,1,4,1024,206
0,70,1,5,740,220
0,70,1,6,664,184
0,70,1,7,596,166
0,70,1,8,834,384
0,70,1,11,766,384
0,70,1,14,818,144
0,70,1,16,794,168
0,70,2,0,584,554
0,70,2,1,570,570
0,70,2,2,556,564
0,70,2,5,584,580
0,70,2,14,584,546
0,70,2,15,592,550
0,72,1,0,840,152
0,72,1,1,800,222
0,72,1,2,758,222
0,72,1,3,692,174
0,72,1,4,624,142
0,72,1,5,842,218
0,72,1,6,924,208
0,72,1,7,1006,186
0,72,1,8,782,386
0,72,1,9,748,518
0,72,1,10,706,622
0,72,1,11,846,394
0,72,1,12,854,552
0,72,1,13,832,664
0,72,1,14,826,148
0,72,1,16,800,174
0,74,1,0,850,158
0,74,1,1,814,228
0,74,1,2,848,232
0,74,1,3,904,218
0,74,1,4,956,196
0,74,1,5,778,226
0,74,1,8,800,396
0,74,1,9,746,528
0,74,1,10,702,624
0,74,1,11,856,404
0,74,1,12,858,520
0,74,1,13,832,670
0,74,1,14,834,156
0,74,1,15,842,150
0,74,1,16,808,184
0,76,1,0,860,168
0,76,1,1,824,236
0,76,1,2,786,230
0,76,1,3,746,186
0,76,1,4,698,152
0,76,1,5,856,238
0,76,1,6,862,246
